A1:1
R4:1
R5:1
S1:1
S10:1
S11:1
S12:1
S13:1
S14:1
S2:1
S3:1
S4:1
S5:1
S6:1
S7:1
S8:1
S9:1
SW1:1
SW2:1
SW3:1
SW4:1
USB1:1
